osmid,y,x,street_count,ref,highway,geometry
499559058,22.5579789,114.0151071,3,,,POINT (114.0151071 22.5579789)
582492767,22.5554258,114.010794,3,,,POINT (114.010794 22.5554258)
582492774,22.5533869,114.0094044,3,,,POINT (114.0094044 22.5533869)
582493129,22.5532911,114.0095536,3,,,POINT (114.0095536 22.5532911)
587647106,22.5559376,114.000535,3,10A,motorway_junction,POINT (114.000535 22.5559376)
1116534501,22.5575101,114.0077891,3,12A/B,motorway_junction,POINT (114.0077891 22.5575101)
1116534511,22.5510233,114.0182529,3,,,POINT (114.0182529 22.5510233)
1116534522,22.5528348,114.0093603,5,,,POINT (114.0093603 22.5528348)
1116534532,22.5592041,114.015472,3,,,POINT (114.015472 22.5592041)
1116534558,22.5571703,114.0150414,3,,,POINT (114.0150414 22.5571703)
1116534575,22.5514244,114.0181629,3,,,POINT (114.0181629 22.5514244)
1116534581,22.5529946,114.0173785,3,,,POINT (114.0173785 22.5529946)
1116534624,22.558726,114.014973,3,,,POINT (114.014973 22.558726)
1116534625,22.5523486,114.0175106,3,,,POINT (114.0175106 22.5523486)
1116534644,22.5589047,114.0115995,3,,,POINT (114.0115995 22.5589047)
1116534646,22.5593915,114.0131817,3,,,POINT (114.0131817 22.5593915)
1116534680,22.5598053,114.0165234,3,,,POINT (114.0165234 22.5598053)
1116534703,22.5590404,114.0147694,3,,,POINT (114.0147694 22.5590404)
1116534705,22.5536998,114.0168869,3,,,POINT (114.0168869 22.5536998)
1116534740,22.5587629,114.0151336,3,,,POINT (114.0151336 22.5587629)
1116534789,22.5523996,114.0110013,3,,,POINT (114.0110013 22.5523996)
1116534798,22.5547724,114.0157494,3,,,POINT (114.0157494 22.5547724)
1116534854,22.55279,114.0170298,3,,,POINT (114.0170298 22.55279)
1116534892,22.5529324,114.0092038,4,,,POINT (114.0092038 22.5529324)
1116534913,22.5503288,114.0192459,3,,,POINT (114.0192459 22.5503288)
1342322910,22.5516573,114.0039809,4,,,POINT (114.0039809 22.5516573)
1342322923,22.5504711,114.0100024,4,,,POINT (114.0100024 22.5504711)
1342322955,22.5549534,114.0039175,3,,,POINT (114.0039175 22.5549534)
1342323032,22.5516934,114.0079151,3,,,POINT (114.0079151 22.5516934)
1476460437,22.5582083,114.0097008,3,,,POINT (114.0097008 22.5582083)
1476460438,22.5581577,114.0087135,3,,,POINT (114.0087135 22.5581577)
1476460473,22.559922,114.0171876,3,,,POINT (114.0171876 22.559922)
2429850300,22.5555888,114.018546,3,,,POINT (114.018546 22.5555888)
2429850302,22.5587472,114.0184815,3,,,POINT (114.0184815 22.5587472)
2429850304,22.5597673,114.0186505,3,,,POINT (114.0186505 22.5597673)
2528808075,22.5564357,114.0192969,3,,,POINT (114.0192969 22.5564357)
2528808162,22.55646,114.0185402,3,,,POINT (114.0185402 22.55646)
2528808214,22.5587455,114.0171159,3,,,POINT (114.0171159 22.5587455)
2528808273,22.5555423,114.0164436,3,,,POINT (114.0164436 22.5555423)
2528808291,22.5564835,114.0192955,3,,,POINT (114.0192955 22.5564835)
2528808320,22.5564576,114.0190474,3,,,POINT (114.0190474 22.5564576)
2528808333,22.5564578,114.0195467,3,,,POINT (114.0195467 22.5564578)
2529006265,22.5554921,114.0140183,3,,,POINT (114.0140183 22.5554921)
2529006268,22.5558399,114.0138832,3,,,POINT (114.0138832 22.5558399)
2529006374,22.5566698,114.0149089,3,,,POINT (114.0149089 22.5566698)
2535929937,22.5598912,114.0090214,3,,,POINT (114.0090214 22.5598912)
3811078865,22.55918,114.0151341,3,,,POINT (114.0151341 22.55918)
3969348466,22.5523063,114.0177098,3,,,POINT (114.0177098 22.5523063)
3969348508,22.5561398,114.0056839,3,,,POINT (114.0056839 22.5561398)
3969348511,22.557987,114.0099943,4,,,POINT (114.0099943 22.557987)
4899192522,22.5583244,114.0087565,3,,,POINT (114.0087565 22.5583244)
4899192524,22.5579017,114.008105,3,,,POINT (114.008105 22.5579017)
5053179213,22.5592645,114.0083867,3,,,POINT (114.0083867 22.5592645)
5053181449,22.5589674,114.0100392,3,,,POINT (114.0100392 22.5589674)
5194055705,22.5516769,114.005592,3,,,POINT (114.005592 22.5516769)
5194055712,22.5500302,114.0055986,3,,,POINT (114.0055986 22.5500302)
5273698084,22.5595195,114.0135894,3,,,POINT (114.0135894 22.5595195)
5273698153,22.5568701,114.01577,3,,,POINT (114.01577 22.5568701)
5273698158,22.5584555,114.0151957,3,,,POINT (114.0151957 22.5584555)
5273698163,22.5566832,114.0151198,3,,,POINT (114.0151198 22.5566832)
5273698182,22.5544725,114.0163681,3,,,POINT (114.0163681 22.5544725)
6433474824,22.5599269,114.0155728,3,,,POINT (114.0155728 22.5599269)
6695243960,22.5591122,114.0170992,1,,,POINT (114.0170992 22.5591122)
7097821764,22.5532387,114.0039506,4,,,POINT (114.0039506 22.5532387)
7097821765,22.5532835,114.0063277,3,,,POINT (114.0063277 22.5532835)
7097821766,22.5541182,114.0063197,1,,,POINT (114.0063197 22.5541182)
7283540933,22.5597692,114.0090572,3,,,POINT (114.0090572 22.5597692)
7283540941,22.5518176,114.0084259,3,,,POINT (114.0084259 22.5518176)
7283540943,22.551302,114.0080476,3,,,POINT (114.0080476 22.551302)
7283556629,22.5531875,114.0088747,4,,,POINT (114.0088747 22.5531875)
7283556630,22.5524439,114.0090912,3,,,POINT (114.0090912 22.5524439)
7283556643,22.5525799,114.0089764,3,,,POINT (114.0089764 22.5525799)
7283556781,22.5598805,114.0088457,3,,,POINT (114.0088457 22.5598805)
7510707141,22.5516352,114.0025555,3,,,POINT (114.0025555 22.5516352)
7510707142,22.5532033,114.002514,3,,,POINT (114.002514 22.5532033)
7510707216,22.5515958,114.0000176,3,,,POINT (114.0000176 22.5515958)
7510707218,22.5516149,114.0012458,3,,,POINT (114.0012458 22.5516149)
7510707219,22.5531774,114.0012166,3,,,POINT (114.0012166 22.5531774)
7987093010,22.5526905,114.0108576,3,,,POINT (114.0108576 22.5526905)
7987093016,22.5526415,114.009836,3,,,POINT (114.009836 22.5526415)
7987093017,22.552156,114.010634,3,,,POINT (114.010634 22.552156)
7987093055,22.552427,114.0105282,3,,,POINT (114.0105282 22.552427)
7987093070,22.5523046,114.0109234,3,,,POINT (114.0109234 22.5523046)
7987093101,22.5550709,114.0125063,3,,,POINT (114.0125063 22.5550709)
7987093129,22.5502229,114.0135739,4,,,POINT (114.0135739 22.5502229)
7987093131,22.5503375,114.0136836,5,,,POINT (114.0136836 22.5503375)
7998551639,22.5553322,114.0164713,3,,,POINT (114.0164713 22.5553322)
8000064204,22.5556295,114.0194908,3,,,POINT (114.0194908 22.5556295)
8000064212,22.555424,114.0195098,3,,,POINT (114.0195098 22.555424)
8000064213,22.5554006,114.018986,3,,,POINT (114.018986 22.5554006)
8000064221,22.5556023,114.0189624,3,,,POINT (114.0189624 22.5556023)
8000064223,22.5556318,114.0171121,3,,,POINT (114.0171121 22.5556318)
8000064233,22.5553124,114.0155032,4,,,POINT (114.0155032 22.5553124)
8000064234,22.5553056,114.0150384,3,,,POINT (114.0150384 22.5553056)
8000064235,22.5552701,114.0122055,3,,,POINT (114.0122055 22.5552701)
8000064252,22.5552775,114.0126958,3,,,POINT (114.0126958 22.5552775)
8000064259,22.5541441,114.0125739,3,,,POINT (114.0125739 22.5541441)
8000064262,22.555273,114.0123596,3,,,POINT (114.0123596 22.555273)
8000064263,22.5554613,114.0123566,3,,,POINT (114.0123566 22.5554613)
8000064264,22.5554656,114.012634,3,,,POINT (114.012634 22.5554656)
8000064265,22.5552768,114.012637,3,,,POINT (114.012637 22.5552768)
8000064270,22.55552,114.0154382,4,,,POINT (114.0154382 22.55552)
8000086811,22.5548296,114.0157215,3,,,POINT (114.0157215 22.5548296)
8000086829,22.5555083,114.0148598,3,,,POINT (114.0148598 22.5555083)
8000086840,22.5559545,114.0153551,4,,,POINT (114.0153551 22.5559545)
8000086873,22.5559597,114.0158189,3,,,POINT (114.0158189 22.5559597)
8000086875,22.5561423,114.0157886,3,,,POINT (114.0157886 22.5561423)
8000086882,22.5553207,114.0159755,4,,,POINT (114.0159755 22.5553207)
8000086883,22.5555307,114.0159197,4,,,POINT (114.0159197 22.5555307)
8000086948,22.5549967,114.0160945,3,,,POINT (114.0160945 22.5549967)
8285753018,22.555573,114.0178335,3,,,POINT (114.0178335 22.555573)
8285753027,22.5555509,114.0168322,3,,,POINT (114.0168322 22.5555509)
8986992832,22.5532371,114.0038885,4,,,POINT (114.0038885 22.5532371)
8986992833,22.5516563,114.003916,4,,,POINT (114.003916 22.5516563)
8986992883,22.5501125,114.0055983,4,,,POINT (114.0055983 22.5501125)
8986992885,22.5505218,114.0039357,4,,,POINT (114.0039357 22.5505218)
8986992886,22.5505225,114.0040027,4,,,POINT (114.0040027 22.5505225)
8986992887,22.5504567,114.0039368,4,,,POINT (114.0039368 22.5504567)
8986992888,22.5504575,114.0040039,4,,,POINT (114.0040039 22.5504575)
8986997417,22.5505185,114.0036322,3,,,POINT (114.0036322 22.5505185)
8986997422,22.5508078,114.0039307,3,,,POINT (114.0039307 22.5508078)
8986997429,22.5508649,114.0039961,3,,,POINT (114.0039961 22.5508649)
8986997435,22.5505174,114.0043553,3,,,POINT (114.0043553 22.5505174)
8986997442,22.5501602,114.003942,3,,,POINT (114.003942 22.5501602)
8986997448,22.5504523,114.003571,3,,,POINT (114.003571 22.5504523)
8986997457,22.5504412,114.0044628,3,,,POINT (114.0044628 22.5504412)
8986997463,22.5501024,114.0040107,3,,,POINT (114.0040107 22.5501024)
9906874991,22.5527544,114.009867,3,,,POINT (114.009867 22.5527544)
9906874992,22.552558,114.010495,3,,,POINT (114.010495 22.552558)
9906876225,22.5502716,114.0135396,4,,,POINT (114.0135396 22.5502716)
9907679234,22.5532966,114.0071095,1,,,POINT (114.0071095 22.5532966)
9907679235,22.5544858,114.0012329,3,,,POINT (114.0012329 22.5544858)
9907679236,22.5545014,114.0038666,3,,,POINT (114.0038666 22.5545014)
9907679261,22.5542559,114.00123,1,,,POINT (114.00123 22.5542559)
9907679283,22.5505064,114.00128,2,,,POINT (114.00128 22.5505064)
9907679284,22.5504371,114.0012824,3,,,POINT (114.0012824 22.5504371)
9909537903,22.5546642,114.0012281,1,,,POINT (114.0012281 22.5546642)
